"","AuthorID","PaperNO","QuestAuthor","Coauthor","Paper","Journal"
"1","1","1","S Lee",""," Translation-, Rotation-, and Scale- Invariant Recognition of Hand-Drawn Electrical Circuit Symbols Attributed Graph Matching, ","Proc SSPR Workshop Hill"
"2","1","2","S Lee","S Ahn; H Kang; Y Lim","Structure Analysis of Low Resolution Fax Cover Pages ","Document Analysis Systems"
"3","1","3","S Lee","S Bielecki; E Majkut; I Podolak","A Hybrid Neural System for Phonematic Transformation ","ICPR International Conference Pattern Recognition"
"4","1","4","S Lee","S Bielecka"," A Neural Algorithm of Nonlinear Regression, ","Proc th International Conference Parallel Precessing and Applied Mathematics Naleczow"
"5","1","5","S Lee","S Eds","Biologically Motivated Computer Vision,","Lecture Notes Computer Science Springer Verlag ISBN"
"6","1","6","S Lee","S Byun","Applications of Support Vector Machines for Pattern Recognition: A Survey ","SVM Support Vector Machine"
"7","1","7","S Lee",""," Applications of Support Vector Machines for Pattern Recognition: A Survey, ","Pattern Recognition Support Vector Machines Lecture Notes Computer Science"
"8","1","8","S Lee","S Byun; S Kang","Real-Time Pedestrian Detection Using Support Vector Machines ","IJPRAI International Journal of Pattern Recognition and Artificial Intelligence"
"9","1","9","S Lee","S Byun; S Kang","Real-Time Pedestrian Detection Using Support Vector Machines ","SVM Support Vector Machine"
"10","1","10","S Lee","S Byun; S Kang","Real-Time Pedestrian Detection Using Support Vector Machines ","SVM Support Vector Machine"
"11","1","11","S Lee","S Byun; K Kim; M Roh; Y Choi","Scene Text Extraction in Complex Images ","Document Analysis Systems"
"12","1","12","S Lee",""," A Survey on Pattern Recognition Applications of Support Vector Machines, ","International Journal of Pattern Recognition and Artificial Intelligence"
"13","1","13","S Lee","S Kim"," Modeling and Recognition of Cursive Words Hidden Markov Models, ","Pattern Recognition"
"14","1","14","S Lee","S Choi; Y Kim","Fast Scene Change Detection Using Direct Feature Extraction from MPEG Compressed Videos ","ICPR International Conference Pattern Recognition"
"15","1","15","S Lee","S Choi; Y Kim","Fast Scene Change Detection using Direct Feature Extraction from MPEG Compressed Videos ","IEEE Transactions Multimedia"
"16","1","16","S Lee","S Choi; Y Kim","Fast Scene Change Detection using Direct Feature Extraction from MPEG Compressed Videos ","IEEE Transactions Multimedia"
"17","1","17","S Lee","S Choi; Y Kim","Fast Scene Change Detection using Direct Feature Extraction from MPEG Compressed Videos ","IEEE Transactions Multimedia"
"18","1","18","S Lee",""," Region Tracking using Perspective Motion Model, ","Pattern Recognition"
"19","1","19","S Lee","S Choi","Stability Analysis of Medial Axis Transform under Relative Hausdorff Distance ","ICPR International Conference Pattern Recognition"
"20","1","20","S Lee","S Choi; Y Lim","Text Extraction in MPEG Compressed Video for Content-Based Indexing ","ICPR International Conference Pattern Recognition"
"21","1","21","S Lee","S Rosenfeld"," Editorial, ","International Journal Document Analysis and Recognition"
"22","1","22","S Lee",""," Information Capturing Camera and Developmental Issues, ","Proc th International Conference Document Analysis and Recognition Bangalore"
"23","1","23","S Lee","S Shaposhnikov"," Pre-attentive Detection of Perceptually Important Regions in Facial Images, ","Proc th International Conference Pattern Recognition Barcelona I"
"24","1","24","S Lee",""," Temporal pattern segmentation using selective attention, ","Proc th International Conference Pattern Recognition Brisbane"
"25","1","25","S Lee","S Hwang; H Kwon; M Kim","Contextual postprocessing of a Korean OCR system by linguistic constraints ","ICDAR International Conference Document Analysis"
"26","1","26","S Lee","S Hwang","Face Reconstruction from Partial Information Based on a Morphable Face Model ","Biologically Motivated Computer Vision"
