"","AuthorID","PaperNO","QuestAuthor","Coauthor","Paper","Journal"
"1","1","1","Y Chen","Karl Aberer","Combining Pat-Trees and Signature Files for Query Evaluation in Document Databases ","DEXA Database and Expert Systems Applications"
"2","1","2","Y Chen","Karl Aberer","Layered Index Structures in Document Database Systems ","CIKM International Conference Information and Knowledge Management"
"3","1","3","Y Chen","Wolfgang Benn","Building DD to Support Query Processing in Federated Systems ","KRDB Knowledge Representation Meets Databases"
"4","1","4","Y Chen","W BennI Gringer","FSM: A Federated System Manager,","Zeitschrift Datenbank Rundbrief"
"5","1","5","Y Chen","Wolfgang Benn","Query Evaluation for Distributed Heterogeneous Relational Databases ","CoopIS"
"6","1","6","Y Chen","Wolfgang Benn","Multidatabase Query Optimization: Tree Balance and Node Allocation ","IDEAS International Database Engineering and Application Symposium"
"7","1","7","Y Chen","W BennI Gringer","A New Strategy for Integrating Heterogeneous OO Schemas, in:","Proc of the first Workshop Foederierte Datenbanken Magdeburg"
"8","1","8","Y Chen","Wolfgang Benn","Integrating Heterogeneous OO Schemas ","ICDE International Conference Data Engineering"
"9","1","9","Y Chen","Wolfgang Benn","On the Query Translation in Federative Relational Databases ","DEXA Database and Expert Systems Applications Workshop"
"10","1","10","Y Chen","Wolfgang Benn","On the Query Treatment in Federated Systems ","DEXA Database and Expert Systems Applications"
"11","1","11","Y Chen","Wolfgang Benn","Poster on Rule-based Technology for Schema Transformation ","CoopIS"
"12","1","12","Y Chen","W BennI Gringer","A Rule-based Strategy for Schema Integration in a Heterogeneous Information Environment,","technical report CSR Computer Science Department Technical University of Chemnitz Zwickau"
"13","1","13","Y Chen","Fung-Yee Chan ; Ron McFadyen","Mapping DTDs to Object-Oriented Schemas ","WISE Web Information Systems Engineering"
"14","1","14","Y Chen","D CheK Aberer","A Query System in a Biological Database,"," by the th Int Conf Scientific and Statistical Database Management IEEE"
"15","1","15","Y Chen","D CheK Aberer","An Advanced Web Query Systems of GPCRDB,"," by the th Int Conf Scientific and Statistical Database Management IEEE"
"16","1","16","Y Chen","Duren Che ; Karl Aberer","On the efficient evaluation of relaxed queries in biological databases ","CIKM International Conference Information and Knowledge Management"
"17","1","17","Y Chen","Dunren Che ; Hannelore Eisner ; Karl Aberer","The Advanced Web Query System of GPCRDB ","SSDBM Statistical and Scientific Database Management"
"18","1","18","Y Chen","D Che;K Aberer","The Design of Query Interfaces to GPCRDB,"," by Int Workshop User Interface to Data Intensive Systems UIDIS User Interfaces to Data Intensive Systems Edinburgh IEEE"
"19","1","19","Y Chen","Dunren Che ; Karl Aberer","The Design of Query Interfaces to the GPCRDB Biological Database ","UIDIS User Interfaces to Data Intensive Systems"
"20","1","20","Y Chen","W Benn","Building DD to Support Query Processing in Federated Databases,","Proc of th Int Workshop Knowledge Representation and Databases at the Int Conf VLDB Very Large Data Bases"
"21","1","21","Y Chen","","Building Signature File Hierarchies into Object-Oriented Databases,","accepeted by the IASTED Int Conf Software Engineering and Application SEa"
"22","1","22","Y Chen","G Huck","Building Signature-trees for Path Signatures in Document Databases,"," the book Effective Databases for Text Document Management ed S A Becker"
