"","AuthorID","PaperNO","QuestAuthor","Coauthor","Paper","Journal"
"1","1","1","J Robinson","","A Fast General-Purpose Hardware Synchronisation Mechanism ","SIGMOD International Conference Management of Data Conference"
"2","1","2","J Robinson","","Analysis of Steady-State Segment Storage Utilizations in a Log-Structured File System with Least-Utilized Segment Cleaning ","Operating Systems Review"
"3","1","3","J Robinson","","Order Preserving Linear Hashing Using Dynamic Key Statistics ","PODS Symposium Principles of Database Systems"
"4","1","4","J Robinson","","Some Analysis Techniques for Asynchronous Multiprocessor Algorithms ","IEEE Trans Software Eng"
"5","1","5","J Robinson","","Separating Policy from Correctness in Concurrency Control Design ","Softw Pract Exper"
"6","1","6","J Robinson","","The K-D-B-Tree: A Search Structure For Large Multidimensional Dynamic Indexes ","SIGMOD International Conference Management of Data Conference"
"7","1","7","J Robinson","Caroline Benveniste ; Peter A Franaszek","Cache-Memory Interfaces in Compressed Memory Systems ","IEEE Trans Computers"
"8","1","8","J Robinson","Murthy V Devarakonda","Data Cache Management Using Frequency-Based Replacement ","SIGMETRICS Measurement and Modeling of Computer Systems"
"9","1","9","J Robinson","Murthy V Devarakonda","Note on a Problem with Reed and Long's FBR Results ","Operating Systems Review"
"10","1","10","J Robinson","Peter A Franaszek","Limitations of Concurrency in Transaction Processing ","ACM Trans Database Syst"
"11","1","11","J Robinson","Peter A Franaszek","On Variable Scope of Parity Protection in Disk Arrays ","IEEE Trans Computers"
"12","1","12","J Robinson","Peter A Franaszek","Analysis of Reorganization Overhead in Log-Structured File Systems ","ICDE International Conference Data Engineering"
"13","1","13","J Robinson","Peter A Franaszek","On internal organization in compressed random-access memories ","IBM Journal of Research and Development"
"14","1","14","J Robinson","Balakrishna R Iyer ; Daniel M Dias ; Philip S Yu","Design and Analysis of Integrated Concurrency-Coherence Controls ","VLDB Very Large Data Bases"
"15","1","15","J Robinson","Balakrishna R Iyer ; Daniel M Dias ; Douglas Cornell ; Philip S Yu","Distributed Concurrency Control Analysis for Data Sharing ","Int CMG Computer Measurement Group Conference"
"16","1","16","J Robinson","Balakrishna R Iyer ; Daniel M Dias ; Douglas W Cornell ; Philip S Yu","Modelling of Centralized Concurrency Control in a Multi-System Environment ","SIGMETRICS Measurement and Modeling of Computer Systems"
"17","1","17","J Robinson","Balakrishna R Iyer ; Daniel M Dias ; Philip S Yu","Integrated Concurrency-Coherency Controls for Multisystem Data Sharing ","IEEE Trans Software Eng"
"18","1","18","J Robinson","H T Kung","On Optimistic Methods for Concurrency Control ","VLDB Very Large Data Bases"
"19","1","19","J Robinson","H T Kung","On Optimistic Methods for Concurrency Control ","ACM Trans Database Syst"
"20","1","20","J Robinson","Anil Nigam ; Henry F Korth ; Ravi Krishnamurthy","A Framework for Understanding Distributed Deadlock Detection Algorithms ","PODS Symposium Principles of Database Systems"
"21","1","21","J Robinson","Alan Norton ; Philip Heidelberger","Parallel Quicksort Using Fetch-and-Add ","IEEE Trans Computers"
"22","1","22","J Robinson","Dan E Poff ; Peter A Franaszek ; Philip Heidelberger","Alogrithms and data structures for compressed-memory machines ","IBM Journal of Research and Development"
"23","1","23","J Robinson","R B Tremaine; P A Franaszek; C O Schulz; T B Smith; M E Wazlowski; ; P M Bland ","IBM Memory Expansion Technology MXT ","IBM Journal of Res Develop"
"24","1","24","J Robinson","C Benveniste; P Franaszek ","Cache-memory interfaces in compressed memory systems ","IEEE Trans Computers"
