"","AuthorID","PaperNO","QuestAuthor","Coauthor","Paper","Journal"
"1","1","1","M Jones","","Computing with Lattices: An Application of Type Classes ","Journal of Functional Programming"
"2","1","2","M Jones","","Dictionary-Free Overloading by Partial Evaluation ","Lisp and Symbolic Computation"
"3","1","3","M Jones","","Dictionary-Free Overloading by Partial Evaluation ","PEPM Partial Evaluation and Semantic Based Program Manipulation"
"4","1","4","M Jones","","Functional Programming with Overloading and Higher-Order Polymorphism ","Advanced Functional Programming"
"5","1","5","M Jones","","First-class Polymorphism with Type Inference ","POPL Symposium Principles of Programming Languages"
"6","1","6","M Jones","","ML Typing, Explicit Polymorphism and Qualified Types ","TACS Theoretical Aspects of Computer Software"
"7","1","7","M Jones","","Integrating Programming, Properties, and Validation ","MPC Mathematics of Program Construction"
"8","1","8","M Jones","","Programming with Constructor Classes Abstract ","PLILP Symposium Programming Language Implementation and Logic Programming"
"9","1","9","M Jones","","Programming with Constructor Classes Preliminary Summary ","Functional Programming"
"10","1","10","M Jones","","Simplifying and Improving Qualified Types ","FPCA Functional Programming Languages and Computer Architecture"
"11","1","11","M Jones","","Using Parameterized Signatures to Express Modular Structure ","POPL Symposium Principles of Programming Languages"
"12","1","12","M Jones","","A System of Constructor Classes: Overloading and Implicit Higher-Order Polymorphism ","FPCA Functional Programming Languages and Computer Architecture"
"13","1","13","M Jones","","A Theory of Qualified Types ","Sci Comput Program"
"14","1","14","M Jones","","A Theory of Qualified Types ","ESOP European Symposium Programming"
"15","1","15","M Jones","","Type Classes with Functional Dependencies ","ESOP European Symposium Programming"
"16","1","16","M Jones","Andrew P Black ; Johan Nordlander ; Magnus Carlsson ; Richard B Kieburtz","Reactive Objects ","Symposium Object Oriented Real Time Distributed Computing"
"17","1","17","M Jones","Benedict R Gaster; Mark P Jones","A Polymorphic Type System for Extensible Records and Variants,","Technical report NOTTCS TR Department of Computer Science University of Nottingham University Park Nottingham NG RD England"
"18","1","18","M Jones","Paul Hudak ; Sheng Liang","Monad Transformers and Modular Interpreters ","POPL Symposium Principles of Programming Languages"
"19","1","19","M Jones","Paul Hudak ; Sebastian Shaumyan","Using Types to Parse Natural Language ","Functional Programming"
"20","1","20","M Jones","Mark P Jones","Coherence for qualified types,","Research Report YALEU DCS RR Yale University New Haven"
"21","1","21","M Jones","Mark P Jones; Luc Duponcheel","Composing Monads,","Research Report YALEU DCS RR Yale University New Haven"
"22","1","22","M Jones","Mark P Jones","Computing with lattices: An application of type classes","Journal of Functional Programming University Press"
"23","1","23","M Jones","Mark P Jones","Dictionary-free Overloading by Partial Evaluation,","ACM SIGPLAN Special Interest Group Programming Languages Workshop Partial Evaluation and Semantics Based Program Manipulation"
"24","1","24","M Jones","Mark P Jones","Functional Programming with Overloading and Higher-Order Polymorphism","First International School Advanced Functional Programming Techniques B aa stad Springer Verlag Lecture Notes Computer Science"
"25","1","25","M Jones","Mark P Jones","From Hindley-Milner Types to First-Class Structures,","Proceedings of the Haskell Workshop Jolla Yale University Research Report YALEU DCS RR"
"26","1","26","M Jones","Mark P Jones","First-class Polymorphism with Type Inference,","Proceedings of the Twenty Fourth Annual ACM SIGPLAN Special Interest Group Programming Languages SIGACT Symposium Principles of Programming Languages"
"27","1","27","M Jones","Mark P Jones","Hugs , The Haskell User's Gofer System: User Manual,","Technical Report NOTTCS TR Functional Programming Research Group Department of Computer Science University of Nottingham Nottingham NG RD England"
"28","1","28","M Jones","Mark P Jones; Simon Peyton Jones ","Lightweight Extensible Records for Haskell,","Proceedings of the Haskell Workshop Published Technical Report UU CS Department of Computer Science University of Utrecht"
"29","1","29","M Jones","Mark P Jones","Qualified Types: Theory and Practice,","University Press"
"30","1","30","M Jones","Mark P Jones","ML typing, explicit polymorphism and qualified types","TACS Theoretical Aspects of Computer Software Conference theoretical aspects of computer software Sendai Springer Verlag Lecture Notes Computer Science"
"31","1","31","M Jones","Mark P Jones; Paul Hudak","Implicit and explicit parallel programming in Haskell","Research Report YALEU DCS RR Yale University New Haven"
"32","1","32","M Jones","Mark P Jones","Simplifying and Improving Qualified Types,","Research Report YALEU DCS RR Yale University New Haven Shorter revised version without proofs appears FPCA Functional Programming Languages and Computer Architecture Conference Functional Programming Languages and Computer Architecture Jolla Computer Animation"
"33","1","33","M Jones","Mark P Jones","Using Parameterized Signatures to Express Modular Structure,","Proceedings of the Twenty Third Annual ACM SIGPLAN Special Interest Group Programming Languages SIGACT Symposium Principles of Programming Languages St Beach"
