"","AuthorID","PaperNO","QuestAuthor","Coauthor","Paper","Journal"
"1","1","1","D Johnson","","Communicating Processes,","J Algorithms"
"2","1","2","D Johnson","","Computing in the Math Department, Part I,","J Algorithms"
"3","1","3","D Johnson","","Computing with One Hand Tied behind Your Back,","J Algorithms"
"4","1","4","D Johnson","","Concurrent Processing,","J Algorithms"
"5","1","5","D Johnson","","A Catalog of Complexity Classes ","Handbook of Theoretical Computer Science Volume A Algorithms and Complexity A"
"6","1","6","D Johnson","","Data Structures for Traveling Salesmen Abstract ","SWAT Scandinavian Workshop Algorithm Theory"
"7","1","7","D Johnson","","Fun and Games,","J Algorithms"
"8","1","8","D Johnson","","Fast Algorithms for Bin Packing ","J Comput Syst Sci"
"9","1","9","D Johnson","","Fast Allocation Algorithms","FOCS IEEE Symposium Foundations of Computer Science"
"10","1","10","D Johnson","","Graph Restrictions and Their Effect,","J Algorithms"
"11","1","11","D Johnson","","Knapsacks, Linear Programs, and a Gamut of Problems,","J Algorithms"
"12","1","12","D Johnson","","Local Optimization and the Traveling Salesman Problem ","ICALP Automata Languages and Programming"
"13","1","13","D Johnson","","Embedding Problems,","J Algorithms"
"14","1","14","D Johnson","","Uniqueness,","J Algorithms"
"15","1","15","D Johnson","","Announcements, Updates, and Greatest Hits,","J Algorithms"
"16","1","16","D Johnson","","Network Design,","J Algorithms"
"17","1","17","D Johnson","","Interactive Proof Systems for Fun and Profit,","J Algorithms"
"18","1","18","D Johnson","","Updates, Updates, Updates,","J Algorithms"
"19","1","19","D Johnson","","Approximation Algorithms for Combinatorial Problems","STOC ACM Symposium Theory of Computing"
"20","1","20","D Johnson","","Approximation Algorithms for Combinatorial Problems ","J Comput Syst Sci"
"21","1","21","D Johnson","","Parallel Processing,","J Algorithms"
"22","1","22","D Johnson","","Partitioning, Covering, and Packing Problems,","J Algorithms"
"23","1","23","D Johnson","","Oracles, Bin Packing, and and Ordering Problems,","J Algorithms"
"24","1","24","D Johnson","","Randomized Algorithms and Complexity Classes,","J Algorithms"
"25","1","25","D Johnson","","Routing Problems,","J Algorithms"
"26","1","26","D Johnson","","Solving NP-Hard Problems Quickly On Average ,","J Algorithms"
"27","1","27","D Johnson","","The Many Faces of Polynomial Time,","J Algorithms"
"28","1","28","D Johnson","","The NP-Completeness Column: An Ongoing Guide ","J Algorithms"
"29","1","29","D Johnson","","The Story So Far,","J Algorithms"
"30","1","30","D Johnson","","The Tale of the Second Prover,","J Algorithms"
"31","1","31","D Johnson","","The Twelve Open Problems From [G&J]","Updates J Algorithms"
"32","1","32","D Johnson","","The Traveling Salesman Problem: A report on the State of the Art ","IFIP International Federation for Information Processing Congress"
"33","1","33","D Johnson","D L Applegate; L S Buriol; B L Dillard; D S Johnson;; P W Shor ","The Cutting-Stock Approach to Bin Packing: Theory and Experiments,","Procedings of the Fifth Workshop Algorithm Engineering and Experimentation R E Ladner Editor SIAM Society for Industrial and Applied Mathematics"
"34","1","34","D Johnson","C R Aragon; D S Johnson; L A McGeoch; C Schevon","Optimization by Simulated Annealing: An Experimental Evaluation; Part II, Graph Coloring and Number Partitioning,","Operations Research"
"35","1","35","D Johnson","S F Assmann; D S Johnson; D J Kleitman; J Y -T Leung","On a Dual Version of the One-Dimensional Bin Packing Problem,","J Algorithms"
"36","1","36","D Johnson","Alexander I Barvinok ; Arie Tamir ; Gerhard J Woeginger ; Russell Woodroofe ; S&aacute;ndor P Fekete","The geometric maximum traveling salesman problem ","J ACM"
"37","1","37","D Johnson","Alexander I Barvinok ; Gerhard J Woeginger ; Russell Woodroofe","The Maximum Traveling Salesman Problem Under Polyhedral Norms ","IPCO Integer Programming Combinatorial Optimization"
"38","1","38","D Johnson","J L Bentley; D S Johnson; F T Leighton ; C C McGeoch","An Experimental Study of Bin Packing,","Proc st Ann Allerton Conf Communication Control and Computing"
"39","1","39","D Johnson","J L Bentley; D S Johnson; F T Leighton; C C McGeoch; L A McGeoch","Some Unexpected Behavior Results for Bin-Packing,","Proc th Ann ACM Symp Theory of Computing"
"40","1","40","D Johnson","Francine Berman ; Frank Thomson Leighton ; Larry Snyder ; Peter W Shor","Generalized Planar Matching ","J Algorithms"
"41","1","41","D Johnson","Francine Berman","Performance of the Efficient Data-Driven Evaluation Scheme ","J Parallel Distrib Comput"
"42","1","42","D Johnson","W M Boyce; M R Garey; D S Johnson","A Note on Bisecting Minimum Spanning Trees,","Networks"
"43","1","43","D Johnson","P Brucker; M R Garey; D S Johnson","Scheduling Equal-Length Tasks Under Treelike Precedence Constraints to Minimize Maximum Lateness,","Math of Oper Research"
"44","1","44","D Johnson","F R K Chung; M R Garey; D S Johnson","On Packing Two-Dimensional Bins,","SIAM Society for Industrial and Applied Mathematics J Algebraic and Discrete Methods"
"45","1","45","D Johnson","V Chvatal; M R Garey; D S Johnson","Two Results Concerning Multicoloring,","Ann Disc Math"
"46","1","46","D Johnson","Jill Cirasella ; Lyle A McGeoch ; Weixiong Zhang","The Asymmetric Traveling Salesman Problem: Algorithms, Instance Generators, and Tests ","ALENEX Algorithm Engineering and Experiments"
"47","1","47","D Johnson","E G Coffman; ; M R Garey; D S Johnson","Bin Packing with Divisible Item Sizes,","J Complexity"
"48","1","48","D Johnson","E G Coffman; ; D S Johnson; L A McGeoch; P W Shor; R R Weber","Bin Packing with Discrete Item Sizes, Part III: Average Case Behavior of FFD and BFD,",""
"49","1","49","D Johnson","E G Coffman; ; C A Courcoubetis; M R Garey; D S Johnson; P W Shor; R R Weber;; M Yannakakis","Bin Packing with Discrete Item Sizes, Part I: Perfect Packing Theorems and the Average Case Behavior of Optimal Packings,","SIAM Society for Industrial and Applied Mathematics J Discrete Math"
"50","1","50","D Johnson","Edward G Coffman ; Peter W Shor ; Richard R Weber","Bin packing with discrete item sizes, part II: Tight bounds on First Fit ","Random Structures and Algorithms"
"51","1","51","D Johnson","E G Coffman; M R Garey; D S Johnson","Dynamic Bin Packing,","SIAM Society for Industrial and Applied Mathematics J Computing"
"52","1","52","D Johnson","E G Coffman; ; C A Courcoubetis; M R Garey; D S Johnson; L A McGeoch; P W Shor; R R Weber; M Yannakakis","Fundamental Discrepancies between Average-Case Analyses under Discrete and Continuous Distributions: A Bin Packing Case Study,","Proc rd Ann ACM Symp Theory of Computing Journal versions See below"
"53","1","53","D Johnson","E G Coffman; ; D S Johnson; F T Leighton; P W Shor; R R Weber","Average Case Behavior of FFD and Optimal Bin Packings on U[ ,a] Distributions,",""
"54","1","54","D Johnson","E G Coffman; ; D S Johnson; P W Shor; R R Weber","Markov Chains, Computer Proofs, and Average-Case Analysis of Best Fit Bin Packing,","Proc th Ann ACM Symp Theory of Computing"
"55","1","55","D Johnson","Edward G Coffman ; M R Garey","An Application of Bin-Packing to Multiprocessor Scheduling ","SIAM Society for Industrial and Applied Mathematics J Comput"
"56","1","56","D Johnson","E G Coffman; M R Garey; D S Johnson","Approximation Algorithms for Bin-Packing - An Updated Survey,","Algorithm Design for Computer System Design G Ausiello M Lucertini and P Serafini editors Springer Verlag"
"57","1","57","D Johnson","E G Coffman; ; M R Garey;; D S Johnson","Approximation Algorithms for Bin Packing: A Survey,","Approximation Algorithms for NP Hard Problems D Hochbaum editor PWS Publishing"
"58","1","58","D Johnson","E G Coffman; ; D S Johnson; G S Lueker; P W Shor","Probabilistic Analysis of Packing and Related Partitioning Problems,","Statistical Science"
"59","1","59","D Johnson","E G Coffman; ; C Courcoubetis; M R Garey; D S Johnson; P W Shor; R R Weber;; M Yannakakis","Perfect Packing Theorems and the Average Case Behavior of Optimal and Online Bin Packing,","SIAM Society for Industrial and Applied Mathematics Review Updated version of above"
"60","1","60","D Johnson","Edward G Coffman ; M R Garey ; Robert Endre Tarjan","Performance Bounds for Level-Oriented Two-Dimensional Packing Algorithms ","SIAM Society for Industrial and Applied Mathematics J Comput"
"61","1","61","D Johnson","E G Coffman; ; M R Garey; D S Johnson ; A S LaPaugh","Scheduling File Transfers,","SIAM Society for Industrial and Applied Mathematics J Comput"
"62","1","62","D Johnson","C J Colbourn ; D S Johnson","Unit Disk Graphs,","Discrete Math"
"63","1","63","D Johnson","Costas Courcoubetis ; Edward G Coffman ; M R Garey ; Mihalis Yannakakis ; Peter W Shor ; Richard R Weber","Bin Packing with Discrete Item Sizes, Part I: Perfect Packing Theorems and the Average Case Behavior of Optimal Packings ","SIAM Society for Industrial and Applied Mathematics J Discrete Math"
"64","1","64","D Johnson","Costas Courcoubetis ; Edward G Coffman ; Lyle A McGeoch ; M R Garey ; Mihalis Yannakakis ; Peter W Shor ; Richard R Weber","Fundamental Discrepancies between Average-Case Analyses under Discrete and Continuous Distributions: A Bin Packing Case Study","STOC ACM Symposium Theory of Computing"
"65","1","65","D Johnson","J Csirik ; D S Johnson","Bounded Space On-Line Bin Packing: Best is Better than First,","Algorithmica Preliminary version appeared Proc Ann ACM SIAM Society for Industrial and Applied Mathematics Symp Discrete Algorithms"
"66","1","66","D Johnson","J Csirik; D S Johnson; ; C Kenyon","Better Approximation Algorithms for Bin Covering,","Proc th Ann ACM SIAM Society for Industrial and Applied Mathematics Symp Discrete Algorithms"
"67","1","67","D Johnson","J Csirik; D S Johnson; C Kenyon; J B Orlin; P W Shor; R R Weber","On the Sum-of-Squares Algorithm for Bin Packing,","Proc Annual ACM Symp Theory of Computing Journal version to J ACM"
"68","1","68","D Johnson","J Csirik; D S Johnson; C Kenyon; P W Shor; R R Weber","A Self-Organizing Bin Packing Heuristic,","Algorithm Engineering and Experimentation M T Goodrich and C C McGeoch Eds Springer Lecture Notes Computer Science"
"69","1","69","D Johnson","E Dahlhaus; D S Johnson; C H Papadimitriou; P D Seymour; M Yannakakis","The Complexity of Multiterminal Cuts,","SIAM Society for Industrial and Applied Mathematics J Computing"
"70","1","70","D Johnson","W H E Day; D S Johnson; D Sankoff","The Computational Complexity of Inferring Rooted Phylogenies by Parsimony,","Math Biosciences"
"71","1","71","D Johnson","Alan J Demers ; Jeffrey D Ullman ; M R Garey ; Ronald L Graham","Worst-Case Performance Bounds for Simple One-Dimensional Packing Algorithms ","SIAM Society for Industrial and Applied Mathematics J Comput"
"72","1","72","D Johnson","A S Fraenkel; M R Garey; D S Johnson; T Schaefer; Y Yesha","The Complexity of Checkers on an NxN Board: Preliminary Report,","Proc th Annual Symposium Foundations of Computer Science"
"73","1","73","D Johnson","Aviezri S Fraenkel ; M R Garey ; T Schaefer ; Y Yesha","The Complexity of Checkers on an N * N Board - Preliminary Report","FOCS IEEE Symposium Foundations of Computer Science"
"74","1","74","D Johnson","M L Fredman; D S Johnson; L A McGeoch ; G Ostheimer","Data Structures for Traveling Salesmen,","J Algorithms"
"75","1","75","D Johnson","M R Garey; R L Graham; D S Johnson; D E Knuth","Complexity Results for Bandwidth Minimization,","SIAM Society for Industrial and Applied Mathematics J Appl Math"
"76","1","76","D Johnson","M R Garey; D S Johnson","Complexity Results for Multiprocessor Scheduling Under Resource Constraints,","SIAM Society for Industrial and Applied Mathematics J Computing"
"77","1","77","D Johnson","M R Garey","Composing Functions to Minimize Image Size ","SIAM Society for Industrial and Applied Mathematics J Comput"
"78","1","78","D Johnson","M R Garey ; D S Johnson; W H Freeman","Computers and Intractability: A Guide to the Theory of NP-Completeness",""
"79","1","79","D Johnson","M R Garey; D S Johnson","Crossing Number is NP-Complete,","SIAM Society for Industrial and Applied Mathematics J Algebraic and Discrete Methods"
"80","1","80","D Johnson","M R Garey; F K Hwang; D S Johnson","Algorithms for a Set Partitioning Problem Arising in the Design of Multi-Purpose Units,","IEEE Trans Computers C"
"81","1","81","D Johnson","M R Garey; R L Graham ; D S Johnson","On a Number Theoretic Bin Packing Conjecture,","Proc th Hungarian Combinatorics Colloquium"
"82","1","82","D Johnson","M R Garey; D S Johnson ; H C So","An Application of Graph Coloring To Printed Circuit Testing,","IEEE Trans Circuits and Systems CAS"
"83","1","83","D Johnson","M R Garey ; D S Johnson","A Note on A Note on 'Some Simplified NP-Complete Graph Problems' ,","SIGACT News page"
"84","1","84","D Johnson","M R Garey ; D S Johnson","Approximation Algorithms For Bin Packing Problems: A Survey,","Analysis and Design of Algorithms Combinatorial Optimization G Ausiello and M Lucertini editors Springer Verlag"
