"","AuthorID","PaperNO","QuestAuthor","Coauthor","Paper","Journal"
"1","1","1","J Martin"," ","What does faculty really want from information technology?","SIGUCCS Special Interest Group University and Computing Services"
"2","1","2","J Martin"," ","Managing the network ","SIGUCCS Special Interest Group University and Computing Services"
"3","1","3","J Martin"," ","There's gold in them thar networks! or searching for treasure in all wrong places ","SIGUCCS Special Interest Group University and Computing Services"
"4","1","4","J Martin"," ","There's gold in them thar networks!: or searching for treasure in all the wrong places ","SIGUCCS Special Interest Group University and Computing Services"
"5","1","5","J Martin"," ","There's gold in them thar networks! or searching for treasure in all the wrong places ","SIGUCCS Special Interest Group University and Computing Services"
"6","1","6","J Martin"," ","A solution to the campus parking problem ","SIGUCCS Special Interest Group University and Computing Services"
"7","1","7","J Martin"," ","Seamless integration of client server applications ","SIGUCCS Special Interest Group University and Computing Services"
"8","1","8","J Martin"," ","Desktop videoconferencing - first steps ","SIGUCCS Special Interest Group University and Computing Services"
"9","1","9","J Martin"," ","Help desk training: art, science, or prayer ","SIGUCCS Special Interest Group University and Computing Services"
"10","1","10","J Martin"," ","Seamless Integration of Client Server Applications - Conclusion or How Many SIGUCCS Papers Can You Get From One Project?","SIGUCCS Special Interest Group University and Computing Services"
"11","1","11","J Martin"," ","Training Help Desk Students: The Never Ending Task ","SIGUCCS Special Interest Group University and Computing Services"
"12","1","12","J Martin"," Jan Eveleth ; Linda J Hutchison ; Priscilla Huston ; Susan Calcari","Network information centers NICs : is there one on your horizon?","SIGUCCS Special Interest Group University and Computing Services"
"13","1","13","J Martin"," ","Network client server applications on the network ","SIGUCCS Special Interest Group University and Computing Services"
"14","1","14","J Martin"," ","Moving to a total client server operation ","SIGUCCS Special Interest Group University and Computing Services"
"15","1","15","J Martin"," ","Are we ready for distance education?","SIGUCCS Special Interest Group University and Computing Services"
"16","1","16","J Martin"," Court Sansom ; Debbie Durant ; Henry Moeller ; Jim Osborn ; Virginia Redmond","Slowing Down the Revolving Door: Motivating and Retaining Student Employees ","SIGUCCS Special Interest Group University and Computing Services"
"17","2","1","J Martin"," ","Understanding New Metaphors ","IJCAI International Joint Conference Artificial Intelligence"
"18","2","2","J Martin"," ","Representing regularities in the metaphoric lexicon ","COLING Conference Computational Linguistics"
"19","2","3","J Martin"," ","Conventional Metaphor and the Lexicon ","SIGLEX Special Interest Group the Lexicon of the Association for Computational Linguistics Workshop"
"20","2","4","J Martin"," ","Norvig's Paradigms of Artificial Intelligence Programming: An Instructor's Perspective ","Artif Intell"
"21","2","5","J Martin"," Dan Fass ; Elizabeth A Hinkelman","Introduction to the Special Issue on Non-Literal Language ","Computational Intelligence"
"22","2","6","J Martin"," ","MetaBank: A Knowledge-Base of Metaphoric Language Conventions ","Computational Intelligence"
"23","2","7","J Martin"," ","Representing UNIX Domain Metaphors ","Artif Intell Rev"
"24","2","8","J Martin"," David N Chin ; Dekai Wu ; James Mayfield ; Marc Luria ; Robert Wilensky","The Berkeley UNIX Consultant Project ","Artif Intell Rev"
"25","2","9","J Martin"," Keith Vander Linden","Expressing Rhetorical Relations in Instructional Text: A Case Study of the Purposes Relation ","Computational Linguistics"
"26","2","10","J Martin"," David N Chin ; Dekai Wu ; James Mayfield ; Marc Luria ; Robert Wilensky","The Berkeley UNIX Consultant Project ","Computational Linguistics"
"27","2","11","J Martin"," Keith Vander Linden ; Susanna Cumming","Using System Networks to Build Rhetorical Structures ","NLG Natural Language Generation"
"28","2","12","J Martin"," ","Computer Understanding of Conventional Metaphoric Language ","Cognitive Science"
"29","2","13","J Martin"," Benjamin G Zorn ; Brad Calder ; Dirk Grunwald ; Donald C Lindsay ; Michael Mozer","Corpus-Based Static Branch Prediction ","PLDI Special Interest Group Programming Language Design and Implementation"
"30","2","14","J Martin"," Benjamin G Zorn ; Brad Calder ; Dirk Grunwald ; Donald C Lindsay ; Michael Jones ; Michael Mozer","Evidence-Based Static Branch Prediction Using Machine Learning ","ACM Trans Program Lang Syst"
"31","2","15","J Martin"," Carl H Block ; David E Monarchi ; Megan R MacMillan","A Prototype System for Extracting Objects from Software Specifications ","ACM SIGBDP Special Interest Group Business Data Processing Conference Trends and Directions Expert Systems"
"32","3","1","J Martin"," Rajive Bagrodia ; Richard A Meyer","Slow memory: the rising cost of optimism ","PADS Workshop Parallel and Distributed Simulation"
"33","3","2","J Martin"," Kaixin Xu ; Mineo Takai ; Rajive Bagrodia","Looking ahead of real time in Hybrid component networks ","Workshop Parallel and Distributed Simulation"
"34","3","3","J Martin"," Bruce Kwan ; Mario Gerla ; Prasasth Palnati ; Rajive Bagrodia ; Simon Walton ; Yu-an Chen","Parallel Simulation of a High-Speed Wormhole Routing Network ","Workshop Parallel and Distributed Simulation"
"35","3","4","J Martin"," Rajive Bagrodia ; Sonia Furman","A Comparative Study on the Effects of Spatial Diversity in Ad Hoc Networks Using On-Demand Routing Protocols ","ICPP International Conference Parallel Processing Workshops"
"36","3","5","J Martin"," Aifeng Ren ; Mineo Takai ; Rajive Bagrodia","Directional virtual carrier sensing for directional antennas in mobile ad hoc networks ","MobiHoc"
"37","3","6","J Martin"," Mineo Takai ; Rajive Bagrodia","Effects of wireless physical layer modeling in mobile ad hoc networks ","MobiHoc"
"38","3","7","J Martin"," Ha Yoon Song ; Mineo Takai ; Rajive Bagrodia ; Richard A Meyer ; Xiang Zeng ; Yu-an Chen","Parssec: A Parallel Simulation Environment for Complex Systems ","IEEE Computer"
"39","3","8","J Martin"," Rajive Bagrodia","Compose: An Object-Oriented Environment for Parallel Discrete-Event Simulations ","Winter Simulation Conference"
"40","4","1","J Martin"," Andrea L Mox ; John Major ; Marlene R Pratto ; Martie Skinner ; Robert Minato","Personal networks: why both and how to get started ","SIGUCCS Special Interest Group University and Computing Services"
"41","4","2","J Martin"," Jonathan Thyer ; Marlene R Pratto ; Martie Skinner","Global Greensboro, the Guilford Country Schools and UNCG ","SIGUCCS Special Interest Group University and Computing Services"
"42","4","3","J Martin"," Andrea L Mox ; John Major ; Marlene R Pratto ; Martie Skinner ; Robert Minato","Personal networks: how does your support garden grow?","SIGUCCS Special Interest Group University and Computing Services"
"43","4","4","J Martin"," Andrea L Mox ; John Major ; Marlene R Pratto ; Martie Skinner ; Robert Minato","A year in the life of a personal network ","SIGUCCS Special Interest Group University and Computing Services"
"44","4","5","J Martin"," Andrea Mox ; John Major ; Marlene Pratto ; Martie Skinner ; Robert Minato","Keeping it going: a progress report on the nd year of coast-to-coast consulting ","SIGUCCS Special Interest Group University and Computing Services"
"45","4","6","J Martin"," Martie Skinner","Managing chaos: being available without driving the consultants crazy ","SIGUCCS Special Interest Group University and Computing Services"
"46","5","1","J Martin","Lorenzo Alvisi ; Michael Dahlin","Minimal Byzantine Storage ","DISC International Symposium Distributed Computing"
"47","5","2","J Martin","Lorenzo Alvisi ; Michael Dahlin","Small Byzantine Quorum Systems ","DSN The International Conference Dependable Systems and Networks"
"48","5","3","J Martin","Don S Batory ; Roberto E Lopez-Herrejon","Generating Product-Lines of Product-Families ","ASE Automated Software Engineering"
"49","5","4","J Martin","J-P Martin; L Alvisi; M Dahlin ","Minimal Byzantine Quorum Systems extended technical report ","NOTE This paper is superseded by Minimal Byzantine Storage above"
"50","5","5","J Martin","J-P Martin; L Alvisi; M Dahlin ","Minimal Byzantine Storage","Proceedings of the th International Symposium Distributed Computing DISC International Symposium Distributed Computing Toulouse LNCS ISBN"
"51","5","6","J Martin","J-P Martin; L Alvisi; M Dahlin ","Minimal Byzantine Storage extended technical report ","Technical Report TR updated version Published DISC International Symposium Distributed Computing"
"52","5","7","J Martin","J-P Martin; L Alvisi; M Dahlin ","Small Byzantine Quorum Systems","Proceedings of the International Conference Dependable Systems Networks DSN The International Conference Dependable Systems and Networks pages"
"53","5","8","J Martin","J-P Martin; L Alvisi; M Dahlin ","Small Byzantine Quorum Systems extended technical report ","Technical Report TR"
"54","5","9","J Martin","J-P Martin ","On Checking Temporal Properties of Software with Boolean Programs",""
"55","5","10","J Martin","Arun Venkataramani ; Jian Yin ; Lorenzo Alvisi ; Michael Dahlin","Separating agreement from execution for byzantine fault tolerant services ","SOSP Symposium Operating Systems Principles"
"56","5","11","J Martin","Arun Venkataramani ; Jian Yin ; Lorenzo Alvisi ; Michael Dahlin","Towards a Practical Approach to Confidential Byzantine Fault Tolerance ","Future Directions Distributed Computing"
"57","5","12","J Martin","J Yin; J-P Martin; A Venkataramani; L Alvisi; M Dahlin ","Byzantine Fault-Tolerant Confidentiality updated ","Future Directions Distributed Computing Workshop"
"58","5","13","J Martin","J Yin; A Venkataramani; J-P Martin; L Alvisi; M Dahlin ","Fault-Tolerance and Security when opposites attract ","slides from"
"59","5","14","J Martin","Jian Yin; Jean-Philippe Martin; Arun Venkataramani; Lorenzo Alvisi; Mike Dahlin ","Separating Agreement from Execution for Byzantine Fault Tolerant Services ","Proceedings of the th Symposium Operating Systems Principles SOSP Symposium Operating Systems Principles"
